uri,text,Ines_label,Ines_categories,Ines_reason,adash_label,adash_categories,adash_reason,bluesky_labels,bluesky_flagged,image_1,image_2,image_3,image_4,video
at://did:plc:34wf56u74h63txzhvnfgs5co/app.bsky.feed.post/3m3uhhlv65c2c,"The Bible condemns all types of heterosexual relationships in the exact same way as it does homosexual ones except in the case of married men.  And, Jesus routinely prayed with sinners of all sorts, from thieves to prostitutes. That sounds like support to me.",Safe,,safe,Unsafe,S6,Intolerant toward sex before marriage and homosexual sex.,,No,,,,,
at://did:plc:3lslcswuwmyvomqq3c54lous/app.bsky.feed.post/3ltazqx3ay22c,"Unfortunately, this Generation of Israel. Is about to get, North Korean style brainwashed.",Safe,,safe,Unsafe,S6,It is demeaning to all the citizens of a country.,,No,,,,,
at://did:plc:3mip3yr6kqe643fqiwky6v5c/app.bsky.feed.post/3m6pcxebc5s2j,,Unsafe,S3,sexual figurative,Safe,,NA.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/zy/bafkreidohch6o2iwttxl6vhe577ch3kdoxmwqpejldekpuastnyrnphxzy.jpeg,,,,
at://did:plc:4cgrxzsjvivgyvk5kqjtq7ry/app.bsky.feed.post/3loicn4bkuk2d,I am against any type of violence or discrimination. But i am NOT going to support ANY member of the Jew community who shows support of symphaty for the Israel  State.,Safe,,safe,Unsafe,S6,Political opinion. Singling out Jew community is the problem.,,No,,,,,
at://did:plc:4o72o7wyypk7xws6yiw2fhhn/app.bsky.feed.post/3m3aucfwggs2c,"Yes, it's likely is",Unsafe,S3,sexual figurative,Safe,,Did not understand the image fully.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/5y/bafkreiglfosrqvw6jsem7mmpucsikjguiqkrh5sqzi4idcnhmbjyjniv5y.jpeg,,,,
at://did:plc:4rwh3mq6q7hg2px5rgqhrjkd/app.bsky.feed.post/3m6lg5tn6s22a,"""You won't need food when you're BURNING IN HELL! Don't forget..God loves you...""",Unsafe,S6,hate against christians,Safe,,It seems like criticism but does not seem to violate the guidelines.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/ii/bafkreiaknuh4ibb4ue7lv6zcqsvw34eohknzqr7ud3wof4a5qrmkglmiii.jpeg,,,,
at://did:plc:6hwfensjm4u6apznkorudjtq/app.bsky.feed.post/3lqpyw2gj3c2r,"The wife is watching shit tv. It's either abuse you or have a wank

I've decided to do both",Safe,,safe,Unsafe,S2,Seems sexual.,,No,,,,,
at://did:plc:7t7hsf4hvvloo66qgccb5kt2/app.bsky.feed.post/3lovwrebzvs2e,"Are you Jewish? Or are you weaponizing our existence against someone?

Because protecting cops by claiming that ""pig fucker"" is antisemitic instead of anti-cop is WAY outside of your lane.

Even if you're Jewish, that's still bad faith when we all know ACAB.",Safe,,safe,Unsafe,S8,I am leaning slightly toward rude because it is pointed toward someone and uses very aggressive and swear language.,,No,,,,,
at://did:plc:en2viimzc3gydsljf42jbm5j/app.bsky.feed.post/3maa5wkd3tk2m,"I remember when there was a mass shooting and a POTUS would try to comfort the country, not say shit like ""things happen"" like a fucking sociopath.",Safe,,safe,Unsafe,S8,"This is a criticism, but it has gone a bit above the threshold calling the POTUS as a sociopath.",,No,,,,,
at://did:plc:ff3znuraxaizwmjm3xbbbwia/app.bsky.feed.post/3lx5x5zdjdk23,"If women are so strong and terrible, then why are feminists constantly trying to recruit men to support every little issue they have in society? They even complain about having to stand on the bus after sitting all day in an air-conditioned office. Look who’s crying now…ya pampered purple hairs.",Safe,,personal opinion doesnt reach threshold of rude,Unsafe,S6,"mocking women, also insulting and rude.",,No,,,,,
at://did:plc:hd6lprpb5h5otlaaouv55g6a/app.bsky.feed.post/3m2iopns5bs2t,"African and Asian societies tend to be far less socially atomized, and in some cases have far greater capacity for organized violence.",Safe,,opinion,Unsafe,S6,"While it is measured, it essentially points at two ethnic groups for being more capable of organized violence.",,No,,,,,
at://did:plc:i4arw6ns2bwjnsbil354hi6a/app.bsky.feed.post/3maw4swhlwc2x,I want to rub my diapered crotch on your feet.,Safe,,kinda sexual but doesnt reach the treshhold i think,Unsafe,S2,Seems sexually explicit fetishitic content.,,No,,,,,
at://did:plc:jgykgyxiy7hqrbxewjw3otz3/app.bsky.feed.post/3m2t3ufpaks2v,"When you're right,  you're right.  

#USDemocracy

youtube.com/shorts/JJxeg...",Safe,,safe,Unsafe,S6,Calling a group of people dumb.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/pi/bafkreig4j2ec7yf2ctsgl2dchs5ape3ig3rafmgilwvmdnyvfups4ad7pi.jpeg,,,,
at://did:plc:jv2tkjbd5gtui3px2me3zav5/app.bsky.feed.post/3mb7gnmignk2f,"Möge ihnen auch das Hirn abfrieren, aber warte 🤔.
Wo nichts ist was soll da abfrieren.
Mein Fehler 😇",Safe,,kinda insulting but not really,Unsafe,"S6,S8",Seems hateful and rude.,,No,,,,,
at://did:plc:mqfmdmzix24bu52nqao2jxfh/app.bsky.feed.post/3m2uc57peps24,"Habeas Corpus is a lovely gal. How does trump not know of her? 
#FUCKtrump
#STUPIDfuckingIdiot
#FUCKnoem
#FuckICE
#FuckGOP",Safe,,safe,Unsafe,S8,The hashtags make the post extremely rude and fit the guidelines.,,No,,,,,
at://did:plc:pm6vyse7fu2laibh3x7drqic/app.bsky.feed.post/3lzqslzlhr22n,youtube.com/shorts/jHODb...,Safe,,link to youtube video but no details,Unsafe,S6,The text seems to be very intolerant saying Republicans hate women -- seems like a very biased thing to be directed toward people of a particular political ideology.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/le/bafkreiahlfdwhp36hifnm7r4jskadhkfkzn4d35zolnan2ta6k6qkr2lle.jpeg,,,,
at://did:plc:pp74hwa2eujknc7yojbt3bdx/app.bsky.feed.post/3m7oiqi4ddk2a,"私のタロットバージンを奪うのは

⚾️さんかあの人か",Safe,,safe,Unsafe,S2,"Translation included : ""Who will be the one to take my Tarot virginity?"".",,No,,,,,
at://did:plc:py4n2l5nwyrg6hj7ncgtzq7h/app.bsky.feed.post/3lvjckrubvc2b,🥚🥚👃🍆😮🍑✊👅🍆✊💦🦶🐽,Safe,,could be sexually suggestive but no context,Unsafe,"S2,S3",Seems like emojis which are potentially used in sexual context.,,No,,,,,
at://did:plc:sgjhrd3n4upf6ctfhnspdxjs/app.bsky.feed.post/3lxdfufvvle23,"Dead or alive, you're coming with me.",Safe,,no context,Unsafe,"S9,S8",Inciting threat (dead or alive). You -- seems to be pointed to someone.,,No,,,,,
at://did:plc:sp5civ2ibdm6qdydvucom3uk/app.bsky.feed.post/3m5haee267c2j,So worthless Congress will allow the orange turd to pardon himself,Safe,,i think its politics rage and not that insulting,Unsafe,S8,It is talking about Trump by referring to or mocking him as orange turd.,,No,,,,,
at://did:plc:tokgwkrqrnvjwcz5v4obzvsy/app.bsky.feed.post/3m5jw67cw3s25,more like jerk dorsey lol,Safe,,safe,Unsafe,S8,NA.,,No,,,,,
at://did:plc:uinx5d3ih2dqq5me542xsgc3/app.bsky.feed.post/3ma6zv67ph22z,Autistas com hiperativo em BDSM,Safe,,it refrences bdsm but no full context of why and the purpose,Unsafe,S6,This is in general demeaning toward people with autism.,,No,,,,,
at://did:plc:uvxfqjy5k54ot3okxbk6q33o/app.bsky.feed.post/3lzqr3jexpc2l,"Jajaja, es más difícil encontrar uno que no sea para el corchazo.",Safe,,safe,Unsafe,S9,Translation : It is hard to find one that does not deserve a bullet.,,No,,,,,
at://did:plc:uxjxbu66nq6hhcp6ykvzjxoe/app.bsky.feed.post/3lnqy6xzzpk2r,Ari & Siena (Bare Alt.),Safe,,not sexually suggestive,Unsafe,"S3,S5",Cartoons and partial nudity.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/ne/bafkreidavukl36llvnzyxk5vry7x2ntk6k2hyv36sjhc453eszmxopxone.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/ru/bafkreibrkuv3jcnzuoewjekckl4fvrs7af2nzwzeoz4rakjsmmjfmg6gru.jpeg,,,
at://did:plc:xs6cipc5tfwqsbbcrqpkhqmr/app.bsky.feed.post/3lvjhrskknc2h,,Safe,,safe,Unsafe,S8,NA.,,No,,,,,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/videos/firehose/la/bafyreihhrlzum2uy54jwnijcld3j2c4dltbjosuchkgvc6tnlyoclnzxla.mp4
at://did:plc:xttav7x6nlfm6scqsxltdibt/app.bsky.feed.post/3lrbsp3xons2c,"Most of the time, the perpetrators are themselves LGBTQI+, female or otherwise marginalized - but since as a police officer, soldier, etc. you have to conform to the supposed white patriarchs, they need a punching bag to release the pressure of frustration. Unfortunately❗",Safe,,opinion,Unsafe,S6,Racial and gendered.,,No,,,,,
at://did:plc:y443gh6sgrmildbavvkly6ko/app.bsky.feed.post/3lpkahfm6bc25,"Raised to Want
ink and watercolor, 2018",Unsafe,S3,sexual figurative,Safe,,NA.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/vm/bafkreif6vddkzhnfuqpn736inq5rvk22b22kjlhlyqdsuandehc5socqvm.jpeg,,,,
at://did:plc:ylg3i5gmtn66cvcghmbnxhyl/app.bsky.feed.post/3lqxvptrwhk23,"A phoenix of smoke emerges from shattered lands...

This was such a fun design commission! I'm pretty happy with how it turned out!",Unsafe,S3,sexual figurative,Safe,,The image seems benign.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/ku/bafkreigcmziwvdyevcsgznyza7vooook5ndmp4q6kwa7twbfdyyic7thku.jpeg,,,,
at://did:plc:ywtkmgjtbti2c6kpnlf6i27s/app.bsky.feed.post/3lzye2aowgs2u,,Unsafe,S2,sexually suggestive,Safe,,Not violating any of the NSFW guidelines yet. Close but not enough.,,No,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/yq/bafkreig5k3x5n4tup73rqvbvin2c5ckok3vzl6opk4xb3nyhroy2w25yyq.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/hm/bafkreifao5kxsdawydqvtnhtyptxhysmur55dweh2ctxlol3fxgncikxhm.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/je/bafkreihl3obvi2mk5visdhug5mu5dzovgs53iwzri2k4qjt2evey4folje.jpeg,https://huggingface.co/datasets/ines-abdelaziz/neurips-content-moderation/resolve/main/images/firehose/4q/bafkreihlyof3ggrl2j2r6bro54ljz2spayofy2zr3zry7ewjpjp2svqe4q.jpeg,
at://did:plc:z37zxpcg22ookqjpvmgansn2/app.bsky.feed.post/3lwrxqneipc2i,maybe he and i can be side by side as companions at the gangbang. apparently,Safe,,safe,Unsafe,S2,"""gangbang"" in the comment.",,No,,,,,
at://did:plc:zhpagecdvqbddu6pjf2f4m4g/app.bsky.feed.post/3lu7hfgj7ac2f,Turns you into an 🍊 turd nazi!,Safe,,no context to who its directed,Unsafe,S8,Seems like a comment to something from Trump.,,No,,,,,
